2026/09/16 16:40:10.868, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:41:04.388, NVIDIA L40S, 580.173.02, 1711 MiB, 6 %, 104.95 W
2026/09/16 16:41:04.888, NVIDIA L40S, 580.173.02, 1711 MiB, 1 %, 107.93 W
2026/09/16 16:41:05.388, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 108.20 W
2026/09/16 16:41:05.889, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.67 W
2026/09/16 16:41:06.389, NVIDIA L40S, 580.173.02, 1711 MiB, 10 %, 105.68 W
2026/09/16 16:41:06.889, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.58 W
2026/09/16 16:41:07.389, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 104.82 W
2026/09/16 16:41:07.889, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 104.82 W
2026/09/16 16:41:08.390, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:08.890, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:09.390, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:09.890, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:10.391, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:10.891, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:11.391, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:11.891, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:12.392, NVIDIA L40S, 580.173.02, 1711 MiB, 15 %, 105.92 W
2026/09/16 16:41:12.892, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.30 W
2026/09/16 16:41:13.392, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.15 W
2026/09/16 16:41:13.892, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 105.15 W
2026/09/16 16:41:14.392, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.95 W
2026/09/16 16:41:14.893, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.95 W
2026/09/16 16:41:15.394, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:15.894, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:16.394, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:16.894, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:17.394, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:17.895, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:18.395, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:18.895, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:19.395, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:19.895, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:20.396, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:20.896, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:21.396, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:21.896, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:22.396, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:22.897, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:23.397, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:23.897, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:24.397, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.97 W
2026/09/16 16:41:24.897, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.97 W
2026/09/16 16:41:25.397, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.89 W
2026/09/16 16:41:25.898, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.89 W
2026/09/16 16:41:26.398, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:26.898, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:27.398, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:27.898, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:28.398, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.71 W
2026/09/16 16:41:28.899, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.71 W
2026/09/16 16:41:29.399, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.67 W
2026/09/16 16:41:29.899, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.67 W
2026/09/16 16:41:30.399, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:41:30.899, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:41:31.400, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:31.900, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:32.400, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:32.900, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.85 W
2026/09/16 16:41:33.400, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:33.901, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:34.401, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.61 W
2026/09/16 16:41:34.901, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.61 W
2026/09/16 16:41:35.401, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.63 W
2026/09/16 16:41:35.901, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.63 W
2026/09/16 16:41:36.402, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.63 W
2026/09/16 16:41:36.902, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.63 W
2026/09/16 16:41:37.402, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:37.902, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:38.403, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:38.903, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:39.403, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:39.903, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:40.403, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:40.904, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.78 W
2026/09/16 16:41:41.404, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:41.904, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:42.404, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:42.905, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:43.405, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:43.905, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:44.405, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:44.905, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:45.406, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:45.906, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:46.406, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.77 W
2026/09/16 16:41:46.906, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.77 W
2026/09/16 16:41:47.406, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.77 W
2026/09/16 16:41:47.907, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.77 W
2026/09/16 16:41:48.407, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:48.907, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:49.407, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.76 W
2026/09/16 16:41:49.907, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.76 W
2026/09/16 16:41:50.407, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:41:50.908, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:41:51.408, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:51.908, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:52.408, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:41:52.908, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.70 W
2026/09/16 16:41:53.408, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.69 W
2026/09/16 16:41:53.908, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.69 W
2026/09/16 16:41:54.409, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:41:54.909, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.74 W
2026/09/16 16:41:55.409, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:55.909, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.75 W
2026/09/16 16:41:56.410, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:56.910, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:57.410, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:57.910, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:58.410, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:58.911, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:59.411, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:41:59.911, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
2026/09/16 16:42:00.411, NVIDIA L40S, 580.173.02, 1711 MiB, 0 %, 103.73 W
